Scientific Name,Common Name,Distribution,Habitat,Minimum Aquarium Size in Litres,Aquarium Setup,Difficulty,Diet,Grouping,Compatibility,Behaviour,Water Level Area,Temp C Low ,Temp C High ,pH Low,pH High,Hardness dH Low,Hardness dH High
Dermogenys pusilla,Wrestling Halfbeak,Southeast Asia,"Rivers, Canals, Lakes, Ponds, Brackish, Flooded Areas",75,Floating Plants,Difficult,Live food,Small Groups,"Small Fish, Peaceful Fish, Long-Finned Fish",Very Peaceful,Top Water,24,28,6.5,8,10,20
Xenotoca eiseni,Redtail Goodeid,Mexico,"Rivers, Streams, Canals, Pools, Ponds, Swamp, Lakes",55,Heavily-Planted,Moderately Easy,Unfussy,Groups,Same Species Only,Aggressive,All Areas,15,30,6,8,10,20
Poecilia salvatoris,Liberty Molly,Central America,"Rivers, Streams, Canals, Ponds",100,Planted,Intermediate,Unfussy,Shoaling,Same Species Only,Semi-Aggressive,Mid/Top Water,22,26,6.5,8,5,20
Neoheterandria elegans,Tiger Teddy,Colombia,"Rivers, Streams, Canals",40,Heavily-Planted,Moderately Difficult,Unfussy,Groups,Same Species Only,Peaceful,Mid/Top Water,24,30,7,8,5,25
Girardinus falcatus,Goldbelly topminnow,Central America,"Ponds, Lakes, Streams",40,Heavily-Planted,Easy,Unfussy,Shoaling,"Peaceful Fish, Small Fish",Peaceful,Bottom/Mid Water,22,29,6.5,7.5,5,19
Alfaro cultratus,Knife Livebearer,Central America,"Rivers, Streams, Canals",95,Planted,Moderately Difficult,Unfussy,Small Groups,"Same Species Only, Medium-Sized Fish",Semi-Aggressive,Mid/Top Water,24,28,6,8,5,20
Ameca splendens,Butterfly Goodeid,Mexico,Streams,95,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Medium-Sized Fish, Active Fish",Semi-Aggressive,Mid/Top Water,15,30,7,8,12,25
Chapalichthys pardalis,polka-dot splitfin,Mexico,"Pools, Ponds",75,Planted,Easy,Unfussy,Shoaling,"Medium-Sized Fish, Active Fish, Peaceful Fish",Peaceful,Bottom/Mid Water,18,24,7.2,8,10,25
Limia perugiae,Perugia's limia,Central America,"Streams, Brackish, Rivers, Lakes",40,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Bottom/Mid Water,24,28,6.8,7.5,20,30
Mikrogeophagus ramirezi,Ram,Orinoco,"Rivers, Flooded Areas, Streams, Pools",75,Planted,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Peaceful,Bottom/Mid Water,27,30,4,7,5,12
Apistogramma abacaxis,Apistogramma Wilhelmi,Amazon,"Streams, Lakes, Pools",100,Planted,Moderately Difficult,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Semi-Aggressive,Bottom/Mid Water,22,28,4.5,7.5,1,6
Dicrossus maculatus,Spadetailed Checkerboard Cichlid,Amazon,"Rivers, Streams",75,Heavily-Planted,Moderately Difficult,Live food,Small Groups,"Small Fish, Peaceful Fish",Peaceful,Middle Water,26,30,3.4,5.4,0,1
Dicrossus filamentosus,Lyretail Checkerboard Cichlid,Northeastern South America,"Rivers, Streams",75,Heavily-Planted,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Peaceful,Bottom/Mid Water,27,30,4.5,5.8,0,1
Apistogramma hoignei,Hoigne's Dwarf Cichlid,Orinoco,"Rivers, Streams",75,Unfussy,Intermediate,Unfussy,Small Groups,"Small Fish, Same Species Only",Semi-Aggressive,Bottom/Mid Water,23,29,5,7,5,15
Apistogramma diplotaenia,Apistogramma diplotaenia,Orinoco,"Rivers, Streams, Pools",100,Planted,Moderately Difficult,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Generally Peaceful,Bottom/Mid Water,24,29,6,6.5,2,15
Apistogramma caetei,Apistogramma caetei,Amazon,"Rivers, Streams",80,Planted,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Semi-Aggressive,Bottom/Mid Water,23,30,5.5,7,1,6
Apistogramma agassizi,Agassizi's Dwarf Cichlid,Amazon,"Rivers, Streams",55,Unfussy,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Semi-Aggressive,Mid/Top Water,22,29,3,6.5,2,12
Taeniacara candidi,Taeniacara candidi,Amazon,"Rivers, Streams",55,Heavily-Planted,Moderately Difficult,Live food,Pair,"Small Fish, Peaceful Fish",Aggressive,Middle Water,27,30,4.5,5.8,0,1
Apistogramma eremnopyge,Strawberry Dwarf Cichlid,Amazon,"Rivers, Streams",60,Unfussy,Intermediate,Unfussy,Small Groups,"Small Fish, Same Species Only",Semi-Aggressive,Mid/Top Water,22,28,4,6,2,12
Nannacara,Nannacara,Northeastern South America,"Flooded Areas, Streams",55,Planted,Very Easy,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Semi-Aggressive,Bottom/Mid Water,22,25,6,7.5,3,8
Apistogramma staecki,Apistogramma staecki,Amazon,"Flooded Areas, Swamp, Streams",75,Planted,Moderately Difficult,Unfussy,Small Groups,Peaceful Fish,Semi-Aggressive,Bottom/Mid Water,24,28,5,6.5,2,15
Apistogramma,Apistogramma,Amazon,"Rivers, Streams",55,Planted,Intermediate,Unfussy,Small Groups,"Peaceful Fish, Small Fish",Peaceful,Bottom/Mid Water,24,28,5,7,0,10
Apistogramma norberti,Apistogramma norberti,Amazon,"Rivers, Streams",55,Unfussy,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Peaceful,Bottom/Mid Water,24,28,4.5,6.5,0,3
Apistogramma juriensis,Apistogramma juriensis,Amazon,"Rivers, Streams",75,Planted,Intermediate,Unfussy,Small Groups,"Peaceful Fish, Small Fish",Peaceful,Bottom/Mid Water,20,29,4.5,7,0,4
Apistogramma cruzi,Cruzeiro Apisto,Amazon,"Rivers, Streams",75,Planted,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Peaceful,Bottom/Mid Water,24,28,5.5,7,1,10
Apistogramma cacatuoides,Cockatoo Cichlid,Amazon,"Rivers, Streams",55,Unfussy,Easy,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Peaceful,Middle Water,22,29,5,7,0,15
Apistogramma baenschi,Inca Dwarf Cichlid,Amazon,"Rivers, Streams",75,Unfussy,Moderately Difficult,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Peaceful,Bottom/Mid Water,20,26,4,6.5,1,5
Apistogramma bitaeniata,Two-Striped Dwarf Cichlid,Amazon,"Rivers, Streams",55,Unfussy,Moderately Difficult,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Peaceful,Bottom/Mid Water,22,29,4.5,7,1,5
Acarichthys heckeli,Threadfin Acara,Amazon,"Rivers, Streams, Flooded Areas",150,Unfussy,Moderately Difficult,Unfussy,Small Groups,"Long-Finned Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Middle Water,24,30,6,8,1,12
Mikrogeophagus altispinosus,Bolivian Ram,Bolivia,"Rivers, Streams, Lakes",150,Unfussy,Easy,Unfussy,Small Groups,"Peaceful Fish, Small Fish",Peaceful,Middle Water,24,28,6,7.5,1,10
Nannacara anomala,Golden Dwarf Cichlid,Northeastern South America,"Flooded Areas, Streams",55,Planted,Very Easy,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Semi-Aggressive,Bottom/Mid Water,22,25,6,7.5,3,8
Apistogramma tucurui,Tucurui Dwarf Cichlid,Amazon,"Streams, Rivers, Swamp",120,Planted,Moderately Difficult,Unfussy,Small Groups,Peaceful Fish,Aggressive,Bottom/Mid Water,22,27,5.5,6.5,1,10
Apistogramma nijsseni,Panda Dwarf Cichlid,Amazon,"Rivers, Streams",55,Unfussy,Intermediate,Unfussy,Small Groups,Peaceful Fish,Peaceful,Mid/Top Water,24,28,5,6.5,2,8
Apistogramma macmasteri,Macmaster's Apistogramma ,Orinoco,"Rivers, Streams, Flooded Areas",75,Unfussy,Easy,Unfussy,Pair,Peaceful Fish,Peaceful,Bottom/Mid Water,24,28,5.5,7,1,8
Apistogramma borelli,Umbrella Apistogramma,Paraguay,"Rivers, Streams, Flooded Areas",75,Planted,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Semi-Aggressive,Bottom/Mid Water,20,26,5,8,4,15
Andinoacara pulcher,Blue Acara,Venezuela,"Rivers, Streams, Canals, Pools, Ponds, Swamp",150,Floating Plants,Very Easy,Unfussy,Pair,"Peaceful Fish, Medium-Sized Fish",Peaceful,Bottom/Mid Water,22,28,6.5,8,5,25
Apistogramma hongsloi,Redline Apistogramma,Orinoco,"Streams, Ponds, Pools",45,Unfussy,Easy,Unfussy,Pair,"Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Bottom/Mid Water,23,29,5.5,7,1,6
Apistogramma elizabethae,Elizabeth's Apistogramma,Amazon,"Rivers, Streams, Canals",45,Unfussy,Intermediate,Unfussy,Pair,"Peaceful Fish, Same Species Only",Semi-Aggressive,Bottom/Mid Water,23,29,4,6,2,8
Apistogramma trifasciatum,Three-striped Apisto,Paraguay,"Rivers, Streams, Canals",45,Unfussy,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Peaceful,Bottom/Mid Water,20,25,5,7,1,10
Apistogramma pandourini,Panduro Dwarf Cichlid,Amazon,"Rivers, Streams, Canals",55,Unfussy,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Generally Peaceful,Bottom/Mid Water,22,29,4,6.5,1,5
Apistogramma commbrae,Corumba Dwarf Cichlid,Paraguay,"Rivers, Streams, Flooded Areas",55,Unfussy,Easy,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Peaceful,Bottom/Mid Water,15,27,6,7.4,1,6
Otocinclus affinis,Ottos,South America,"Rivers, Streams",40,Heavily-Planted,Intermediate,Specialised,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Very Peaceful,Bottom/Mid Water,22,28,6,7.5,3,10
Boraras brigittae,Chilli Rasbora,Borneo,"Streams, Swamp, Ponds, Pools",40,Heavily-Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Very Peaceful,Mid/Top Water,20,28,4.5,7.5,3,8
Barbus conchonius,Rosy Barb,India,"Rivers, Streams, Ponds, Swamp, Lakes",90,Unfussy,Very Easy,Unfussy,Schooling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Mid/Top Water,16,24,6,8,5,20
Crosochoilus siamensis,Siamese Algae Eater,Indochina,"Rivers, Streams",100,Flowing River,Moderately Difficult,Specialised,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Bottom/Mid Water,20,26,6,7.5,1,15
Barbus tetrazona,Tiger Barb,Indonesia,"Rivers, Streams",75,Planted,Easy,Unfussy,Shoaling,"Robust Fish, Active Fish, Medium-Sized Fish",Semi-Aggressive,Middle Water,20,26,5,8,1,20
Trigonostigma espei,Lambchop Rasbora,Indochina,Streams,55,Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Very Peaceful,Mid/Top Water,22,26,6,8,1,15
Trigonopoma pauciperforatum,Redline Rasbora,Southeast Asia,"Rivers, Streams, Swamp",60,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Very Peaceful,Mid/Top Water,20,28,5.5,7.5,5,12
Oreichthys cosuatis,Indian Hifin Barb,India,"Rivers, Streams",55,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Peaceful,Bottom/Mid Water,24,28,6.5,7.5,8,12
Devario sondhii,Fireline Devario,Indochina,Flooded Areas,75,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Peaceful,Mid/Top Water,20,26,6.5,7.5,5,12
Barbodes semifasciolatus,Golden Barb,Indochina,"Streams, Swamp, Canals",80,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Peaceful,Mid/Top Water,17,23,6,8,2,10
Barbus titteya,Cherry Barb,Sri Lanka,"Streams, Rivers",55,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Bottom/Mid Water,20,27,6,8,8,16
Paracanthocobitis botia,Zipper Loach,India,"Rivers, Streams",75,Slow River,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Peaceful,Bottom/Mid Water,21,26,6,7.5,6,15
Tanichthys albonubes,White Cloud Mountain Minnow,China,"Rivers, Streams",55,Planted,Very Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Peaceful,Mid/Top Water,14,22,6,8,5,19
Rasbora trilineata,Scissortail Rasbora,Southeast Asia,"Rivers, Streams, Swamp",75,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Very Peaceful,Mid/Top Water,22,25,5,8,2,12
Rasbora kalochroma,Clown Rasbora,Southeast Asia,"Rivers, Streams, Swamp",160,Unfussy,Moderately Difficult,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Very Peaceful,All Areas,23,28,5,7.5,2,10
Rasbora heteromorpha,Harlequin Rasbora,Southeast Asia,"Rivers, Streams",55,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Very Peaceful,Mid/Top Water,21,28,5,7.5,2,15
Rasbora dorsiocellata,Eyespot Rasbora,Southeast Asia,"Rivers, Streams, Swamp",40,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Peaceful,Mid/Top Water,20,25,5,7.5,3,12
Rasbora borapetensis,Red-tailed Rasbora,Southeast Asia,"Rivers, Streams, Canals, Pools, Ponds",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Mid/Top Water,22,26,6,7.5,2,12
Danio malabaricus,Giant Danio,India,"Rivers, Streams",120,Flowing River,Intermediate,Unfussy,Shoaling,"Medium-Sized Fish, Medium-Large Fish, Robust Fish, Active Fish",Peaceful,Bottom/Mid Water,18,25,6,8,5,15
Danio devario,Bengal Danio,India,"Rivers, Streams",120,Flowing River,Intermediate,Unfussy,Shoaling,"Medium-Sized Fish, Robust Fish, Active Fish",Peaceful,Top Water,15,26,6,8,5,20
Puntius rohani,Dawkinsia rohani,India,"Rivers, Streams",120,Flowing River,Intermediate,Unfussy,Shoaling,"Medium-Sized Fish, Small Fish, Active Fish",Peaceful,Bottom/Mid Water,19,25,6,7.5,2,10
Puntius rhomboocellatus,Snakeskin Barb,Borneo,"Streams, Swamp",75,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish",Peaceful,Mid/Top Water,20,28,4,7,3,12
Eirmotus octozona,Eight Banded False Barb,Indochina,"Streams, Lakes, Flooded Areas, Swamp",55,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Peaceful,Mid/Top Water,22,26,5,7,2,12
Puntius conchonius,Rosy Barb,India,"Rivers, Streams, Ponds, Lakes, Swamp",90,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Peaceful,Middle Water,16,24,6,8,5,19
Barbus mahecola,Barbus mahecola,India,"Rivers, Lakes",80,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Bottom/Mid Water,18,24,6,7.5,2,15
Barbus fasciolatus ,African Banded Barb,Central Southern Africa,"Lakes, Swamp, Rivers, Streams",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Generally Peaceful,Mid/Top Water,20,26,5,6.5,5,12
Puntius denisonii,Red-line Torpedo Barb,India,"Rivers, Streams",200,Flowing River,Intermediate,Unfussy,Shoaling,"Peaceful Fish, Medium-Sized Fish",Peaceful,Bottom/Mid Water,15,25,6.5,7.8,5,25
Puntius conchonius ,Rosy Barb,India,"Rivers, Streams, Ponds, Lakes, Swamp",90,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Peaceful,Middle Water,16,24,6,8,5,19
Puntius nigrofasciatus,Black Ruby Barb,Sri Lanka,"Rivers, Streams",75,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Middle Water,20,27,5.5,7.5,2,15
Brachydanio frankei,Zebra Danio,India,"Rivers, Streams, Pools, Flooded Areas",80,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Very Peaceful,Top Water,18,25,6,8,5,12
Pethia padamya,Odessa Barb,Indochina,"Rivers, Streams",75,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Very Peaceful,Middle Water,16,25,6.5,8.5,2,10
Trigonostigma hengeli,Glowlight Rasbora,Indonesia,Streams,55,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Very Peaceful,All Areas,23,28,5,7.5,1,15
Brachydanio albolineatus,Pearl Danio,Southeast Asia,"Rivers, Streams, Pools, Ponds, Flooded Areas",80,Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Medium-Sized Fish",Very Peaceful,Mid/Top Water,16,25,6,8,5,19
Boraras urophthalmoides,Exclamation Point Rasbora,Indochina,"Swamp, Flooded Areas",40,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Mid/Top Water,20,28,6,7,8,12
Danio margaritatus,Celestial Pearl Danio,Indochina,"Flooded Areas, Pools",40,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Mid/Top Water,20,26,6.5,7.5,3,15
Tanichthys micagemmae,Vietnamese Cardinal Minnow,Indochina,"Rivers, Streams",40,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Very Peaceful,Mid/Top Water,18,23,6.5,7.5,5,18
Barbus pentazona,Five-banded Barb,Borneo,"Swamp, Flooded Areas",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Peaceful,Mid/Top Water,21,26,4,7,5,12
Celestichthys erythromicron,Microrasbora Erythromicon,Indochina,"Lakes, Flooded Areas",55,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Peaceful,Mid/Top Water,20,24,7,8,15,24
Brachydanio rerio,Zebra Danio,India,"Rivers, Streams, Pools, Flooded Areas",80,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Very Peaceful,Top Water,18,25,6,8,5,12
Boraras merah,Phoeniz Rasbora,Borneo,"Rivers, Streams, Swamp",40,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Mid/Top Water,20,28,4,6.5,3,12
Boraras maculatus,Dwarf Rasbora,Southeast Asia,"Rivers, Streams, Swamp",40,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Very Peaceful,Mid/Top Water,20,28,4,6.5,1,5
Neomacheilus corica,Neomacheilus corica,India,"Rivers, Streams",55,Flowing River,Moderately Difficult,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Generally Peaceful,Bottom Area,15,24,6,8,2,15
Barbus everetti,Clown Barb,Borneo,Streams,300,Flowing River,Intermediate,Unfussy,Shoaling,"Peaceful Fish, Medium-Sized Fish",Peaceful,All Areas,18,28,6,7,8,12
Parambassis ranga,Indian Glass Fish,Southeast Asia,"Streams, Pools, Ponds, Lakes, Swamp, Brackish",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Bottom/Mid Water,20,30,6.5,8,8,20
Barbodes semifasciolatus,Golden Barb,Indochina,"Streams, Swamp, Canals",80,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Peaceful,Mid/Top Water,17,23,6,8,2,10
Barbus melanampyx,Melon Barb,India,"Rivers, Streams, Canals, Ponds, Lakes",80,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Active Fish",Very Peaceful,Bottom/Mid Water,22,26,6,7.5,2.5,12
Danio choprai,Glowlight Danio,Indochina,"Streams, Pools",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Very Peaceful,Mid/Top Water,16,26,6,8,1,12
Oliotius oligolepis,Checkered Barb,Indonesia,"Streams, Lakes",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Peaceful,Bottom/Mid Water,18,25,5.5,7.5,1,10
Corydoras aeneus,Bronze Cory,South America,"Rivers, Streams",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Active Fish, Medium-Sized Fish",Peaceful,Bottom Area,21,27,6,8,8,12
Epalzeorhynchos bicolor,Red-Tailed Black Shark,Indochina,"Rivers, Streams, Flooded Areas",250,Unfussy,Intermediate,Unfussy,Loner,"Robust Fish, Medium-Sized Fish",Aggressive,Bottom/Mid Water,20,26,6,8,10,15
Ancistrus,Common Bristlenose Catfish,South America,"Rivers, Streams",55,Unfussy,Intermediate,Unfussy,Loner,"Small Fish, Peaceful Fish, Long-Finned Fish, Active Fish, Medium-Sized Fish, Medium-Large Fish, Robust Fish, Very Small Fish",Generally Peaceful,Bottom Area,21,26,5.5,7.5,5,20
Corydoras panda,Panda Cory,Amazon,"Rivers, Streams",40,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Peaceful,Bottom Area,20,25,6,8,2,20
Corydoras paleatus,Pepper Cory,South America,"Rivers, Streams, Pools, Lakes",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Peaceful,Bottom/Mid Water,22,26,6,7,5,15
Hyalobagrus flavus,Shadow Catfish,Indonesia,"Rivers, Streams",40,Planted,Moderately Difficult,Unfussy,Shoaling,"Small Fish, Very Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Middle Water,21,26,5.5,7,5,12
Hoplosternum thoracatum,Spotted Hoplo,South America,"Pools, Ponds, Swamp, Flooded Areas, Rivers, Streams",140,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Active Fish, Medium-Sized Fish, Medium-Large Fish",Peaceful,Bottom Area,18,28,6,8,2,20
Corydoras pygmaeus,Pygmy Cory,Brazil,"Streams, Pools, Flooded Areas",40,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Bottom Area,22,26,6,8,2,15
Epalzeorhynchos frenatum,Rainbow Shark,Indochina,"Rivers, Streams, Flooded Areas",250,Unfussy,Intermediate,Unfussy,Loner,"Medium-Sized Fish, Small Fish, Robust Fish, Active Fish",Semi-Aggressive,Bottom Area,20,26,6.5,8,10,16
Crossocheilus latius,Crossocheilus latius,India,"Rivers, Streams, Canals, Pools",300,Flowing River,Easy,Specialised,Small Groups,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Bottom Area,18,24,6,7.5,2,15
Corydoras habrosus,Salt and Pepper Cory,Orinoco,"Rivers, Streams, Flooded Areas",55,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Peaceful,Bottom Area,20,26,5.5,7.5,5,20
Pangio oblonga,Black Kuhli Loach,Indonesia,"Streams, Swamp, Pools",55,Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Bottom Area,21,26,3.5,7,0,10
Botia morleti,Skunk Loach,Indochina,"Rivers, Streams, Pools, Flooded Areas",120,Dedicated,Intermediate,Unfussy,Groups,"Active Fish, Robust Fish, Medium-Sized Fish",Semi-Aggressive,Bottom Area,23,28,6,7.5,5,12
Botia histrionica,Golden Zebra Loach,India,"Rivers, Streams",250,Dedicated,Intermediate,Unfussy,Groups,"Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Bottom Area,22,28,6,7.5,5,10
Botia striata,Zebra Loach,India,"Rivers, Streams",120,Dedicated,Intermediate,Unfussy,Shoaling,"Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Bottom Area,21,26,6,7.5,5,12
Botia lohachata,Yo-Yo Loach,India,"Rivers, Streams, Pools",250,Dedicated,Intermediate,Unfussy,Shoaling,"Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Bottom Area,24,30,6.5,7.5,3,12
Bunocephalus,Banjo Catfish,Amazon,"Rivers, Streams, Pools, Ponds",75,Planted,Intermediate,Unfussy,Loner,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Very Peaceful,Bottom Area,20,27,5.8,7.8,2,20
